"iso3","country_name","disaggregation","category","subject","grade_band","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Wealth","Middle","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",105,47.89873524784,105,49.5238095238095,47.89873524784
"AFG","Afghanistan","Wealth","Poorest","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",443,3.99764965229648,443,4.74040632054176,3.99764965229648
"AFG","Afghanistan","Wealth","Poorest","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",197,23.1716447289152,197,26.9035532994924,23.1716447289152
"AFG","Afghanistan","Wealth","Poorest","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",27,55.8324457902868,27,55.5555555555556,55.8324457902868
"AFG","Afghanistan","Wealth","Poorest","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",443,1.91693064244848,443,1.8058690744921,1.91693064244848
"AFG","Afghanistan","Wealth","Poorest","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",197,18.723959850799,197,20.8121827411168,18.723959850799
"AFG","Afghanistan","Wealth","Poorest","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",27,34.1409277311263,27,44.4444444444444,34.1409277311263
"AFG","Afghanistan","Wealth","Richest","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",395,26.130825385334,395,25.0632911392405,26.130825385334
"AFG","Afghanistan","Wealth","Richest","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",363,57.0736817513696,362,52.7624309392265,57.0736817513696
"AFG","Afghanistan","Wealth","Richest","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",104,63.0586349572827,104,63.4615384615385,63.0586349572827
"AFG","Afghanistan","Wealth","Richest","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",395,20.7955314198246,395,17.9746835443038,20.7955314198246
"AFG","Afghanistan","Wealth","Richest","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",363,52.4634136972019,363,53.4435261707989,52.4634136972019
"AFG","Afghanistan","Wealth","Richest","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",104,67.2877441104435,104,60.5769230769231,67.2877441104435
"AFG","Afghanistan","Area","Rural","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",2056,10.6092422950342,2054,10.0292112950341,10.6092422950342
"AFG","Afghanistan","Area","Rural","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",1268,35.8088674635444,1268,37.0662460567823,35.8088674635444
"AFG","Afghanistan","Area","Rural","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",312,50.9231207124892,309,56.3106796116505,50.9231207124892
"AFG","Afghanistan","Area","Rural","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",2056,7.77861835735313,2056,6.42023346303502,7.77861835735313
"AFG","Afghanistan","Area","Rural","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",1268,28.5282792715862,1268,28.391167192429,28.5282792715862
"AFG","Afghanistan","Area","Rural","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",312,49.1733731949559,312,51.2820512820513,49.1733731949559
"AFG","Afghanistan","Wealth","Second","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",603,7.35757509330413,603,8.95522388059701,7.35757509330413
"AFG","Afghanistan","Wealth","Second","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",296,27.6804177424043,296,30.4054054054054,27.6804177424043
"AFG","Afghanistan","Wealth","Second","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",68,43.8978463875696,68,51.4705882352941,43.8978463875696
"AFG","Afghanistan","Wealth","Second","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",603,4.4140159310243,603,5.14096185737977,4.4140159310243
"AFG","Afghanistan","Wealth","Second","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",296,19.4551228111456,296,21.9594594594595,19.4551228111456
"AFG","Afghanistan","Wealth","Second","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",68,38.7272679023391,68,45.5882352941176,38.7272679023391
