"iso3","country_name","disaggregation","category","subject","grade","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Wealth","Fourth","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",193,22.4721784157724,192,17.7083333333333,13.4524754056875
"AFG","Afghanistan","Wealth","Fourth","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",165,13.9897989766054,164,17.6829268292683,21.5830357353373
"AFG","Afghanistan","Wealth","Fourth","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",196,32.4960194102059,196,35.2040816326531,29.4527306486632
"AFG","Afghanistan","Wealth","Fourth","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",136,37.5058855961433,134,45.5223880597015,39.1596704134276
"AFG","Afghanistan","Wealth","Fourth","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",109,52.9740565198013,109,46.7889908256881,48.9162031204836
"AFG","Afghanistan","Wealth","Fourth","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",83,54.6884375740131,83,66.2650602409639,59.4770576212055
"AFG","Afghanistan","Wealth","Fourth","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",11,72.3010633711661,11,54.5454545454545,70.5318637013107
"AFG","Afghanistan","Wealth","Fourth","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",182,1.39307814133782,182,1.64835164835165,2.98512368230105
"AFG","Afghanistan","Wealth","Fourth","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",193,15.0565253359776,193,9.84455958549223,11.158268990798
"AFG","Afghanistan","Wealth","Fourth","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",165,16.9792829091812,165,12.7272727272727,19.5863027999625
"AFG","Afghanistan","Wealth","Fourth","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",196,29.5784627128831,196,30.1020408163265,28.0414743798733
"AFG","Afghanistan","Wealth","Fourth","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",136,35.0483991118787,136,36.0294117647059,36.7078187880242
